id,name,distance,info
1,Чорна діра TON 618,10400000000,"Це одна з наймасивніших чорних дір у Всесвіті. Її маса у 66 мільярдів разів перевищує масу Сонця. Якби вона була в центрі нашої системи, вона б поглинула все аж до орбіти Нептуна."
2,Туманність Стовпи Творіння (Nebula Pillars of Creation),6500,"Ці гігантські колони з газу та пилу знаходяться в туманності Орел. Найвища «колона» має довжину близько 4 світлових років — це майже відстань від нашого Сонця до найближчої зірки Проксима Центавра."
3,Планета-алмаз (55 Cancri e),40,"Ця планета вдвічі більша за Землю і складається переважно з вуглецю. Через величезний тиск і температуру близько 2400°C, значна частина її маси може перебувати у формі алмазу."
4,Нейтронна зоря (Пульсар),10000,"Ці об'єкти настільки щільні, що одна чайна ложка речовини нейтронної зорі важила б на Землі близько 1 мільярда тонн (як ціла гора). Вони обертаються сотні разів на секунду, випромінюючи радіосигнали."
5,Планета-бродяга (Rogue Planet),20,"Це планети, які не обертаються навколо жодної зірки. Вони просто дрейфують у повній темряві міжзоряного простору. Вважається, що таких «сиріт» у нашій галактиці може бути навіть більше, ніж зірок."
6,Комета Галлея,0.0005,"Це єдина комета, яку людина може побачити неозброєним оком двічі за життя. Вона повертається до Землі кожні 75–76 років. Наступна поява очікується у 2061 році"
7,Галактика Сомбреро (M104),29000000,"Вона отримала свою назву через незвичну форму: величезне яскраве ядро та тонку смугу пилу, що робить її схожою на мексиканський капелюх. У її центрі знаходиться чорна діра масою в мільярд Сонць"
8,Гігантський Войд Волопаса (Boötes Void),700000000,"Це величезна ділянка космосу діаметром 330 мільйонів світлових років, де майже немає галактик. Якби Чумацький Шлях був у центрі цього Войду, ми б дізналися про існування інших галактик лише у 1960-х роках"
9,Олімп (Olympus Mons) на Марсi,0.00002,"Найвищий вулкан і гора в Сонячній системі. Його висота — 21,9 км, що майже втричі вище за Еверест. Він настільки великий, що його основа закрила б усю площу Франції"
10,Магнітар,50000,"Цікавий факт: Це тип нейтронної зорі з найпотужнішим магнітним полем у Всесвіті. Якби магнітар знаходився на відстані половини шляху до Місяця, він би миттєво стер дані з усіх кредитних карток на Землі"
